id_A,id_B
15453,13505
12376,1314
16832,11369
3845,4319
16142,2683
7503,5921
10830,12763
1475,9502
18227,9366
18497,9582
9736,9055
6015,6100
9623,4446
642,11909
5702,9457
5210,12280
3912,4697
11040,13625
4330,518
16803,5576
7241,3557
7953,11611
3293,2818
9348,444
709,5711
8841,6462
1259,6330
13815,3956
6121,3938
10007,8726
2375,11991
9588,11578
7955,7320
7695,13580
16747,8764
9120,3725
9044,3986
11162,8812
11262,5809
4562,10138
6551,2418
10211,3624
10410,6200
15597,12672
6288,6964
16484,8823
11460,3926
2023,8891
2007,7026
13376,5312
1996,10328
2083,2725
3728,7553
15962,12088
17821,2507
18292,10308
2986,106
16516,3920
14195,2503
7356,5959
2127,12381
12023,3716
10722,8800
13572,119
12176,6396
3134,4967
4238,6463
7201,2104
7888,680
10002,13267
2389,6846
10399,6084
14117,10832
15507,1984
12194,722
14506,10465
5068,11182
7004,7902
18407,297
3478,2051
13442,6509
5394,11312
10883,3782
11150,5078
4181,4515
10937,2805
6713,6023
15708,12754
16797,8286
14067,2295
5700,12288
13191,11880
8020,12590
10451,10426
13419,13701
15124,12443
7001,11051
15794,312
12208,7729
11418,12467
9396,2080
596,21
1239,180
14766,8949
11252,5214
682,785
2892,9221
14379,10847
14491,12951
3269,11245
12846,6166
12939,10353
898,6865
4807,11
7188,7385
4619,6626
1267,9586
8517,11346
1814,3518
10099,392
7726,9243
5413,2698
5250,9978
15122,11925
13200,4274
16738,7862
11104,9739
4439,3494
6934,1305
8968,4856
3674,13661
287,5805
6737,3917
1575,11563
6472,7024
2419,7195
15840,7483
4289,10490
7812,3382
477,7427
10606,12334
9431,8837
90,661
6089,10453
3308,5284
7553,12690
9302,6955
8230,4154
8105,12337
6082,10825
922,3947
6479,7472
8207,3810
8443,3305
8390,7002
6867,5377
2947,13212
15147,2687
6620,273
5039,5521
3746,11869
14712,4149
6973,8386
3428,12557
1810,12223
13854,4306
12700,5223
13425,10410
13981,5598
1680,3504
10028,10166
1127,4335
14876,12089
3620,6876
15666,9528
8351,10326
2204,1220
936,2686
11888,7230
13727,10379
949,191
2221,7745
3547,1841
4337,478
4032,9400
17192,8166
5707,8664
9724,8494
3506,9357
737,1153
7139,11730
10294,3505
5656,1750
16637,4200
16442,3308
3802,11378
15245,1524
1778,3589
16025,12496
12837,8875
14998,6806
6929,9152
10045,6073
234,5085
11938,3252
3953,5369
11797,9741
18412,9851
15322,10910
11865,9999
1962,4911
13047,5870
16805,12774
14721,12165
15899,3759
13031,979
11981,563
9546,4985
16360,7657
9867,4969
7886,10747
14315,7961
14571,8181
1707,9392
4658,8265
4443,13240
13921,101
3033,3847
14752,11755
8116,3701
13276,1447
6250,3552
12912,5444
17075,6320
4010,376
18471,4798
102,9514
5154,10084
5224,12324
17054,1102
10132,5201
1456,13648
897,13597
10946,1007
11992,10618
16373,10545
12305,7409
12984,3734
7291,5876
8700,2401
13518,9399
7798,11797
13640,12602
1576,6209
770,445
7713,5293
8978,7753
9868,985
7416,13284
4933,1613
3850,7708
5797,1662
1535,4711
10939,5707
313,7077
10336,10429
1602,9854
6064,5775
17550,7322
5630,10853
12181,7021
8898,8184
13829,10911
17594,54
3565,7
7870,2180
12333,9033
7896,12252
14705,8226
8125,3351
6999,11339
5877,13590
12137,6302
7247,4461
15207,842
11525,689
9046,3524
8094,1899
6344,7823
15614,1460
4323,5590
11093,2251
4202,7799
6194,3959
1781,2943
10352,3497
1765,5063
12435,7974
7262,7169
10810,379
6018,8105
5113,12431
2539,7620
12047,10980
5108,535
6370,866
3859,10829
16716,5778
2924,10722
15107,5547
8403,3640
7614,10015
11188,2346
12252,3590
7950,4046
1425,5704
11867,1083
15757,3668
12658,13131
2472,8741
15571,12889
14578,10336
2014,7720
4320,9777
2261,1978
2945,10984
6905,9259
4082,12155
14895,10363
5140,10887
15058,8414
8524,2740
16922,2869
13312,9477
904,2298
12274,10515
8621,9164
3175,13140
8441,6673
7204,4979
3794,10749
17229,3574
8497,13235
1344,10559
17621,3601
11885,11470
13464,804
9108,7363
5735,1048
5616,12651
8763,11593
12450,6994
18078,671
1472,8818
17164,773
18101,11635
15182,5653
479,9709
17208,11150
18523,2018
18192,12172
2148,13703
12149,3161
14507,7793
1284,2903
6251,9525
8156,10755
6751,8906
14303,7722
7167,4215
13332,1224
2955,13651
7385,7772
17194,4234
2500,1803
3918,10558
10914,8612
17833,7188
828,5207
17144,389
9573,5823
18337,923
15026,5987
14405,9731
15807,11436
7003,2420
5884,6567
12429,870
11504,6794
15886,12011
16766,8961
4809,11628
14920,9957
7804,12743
8115,4955
14975,9831
8012,9293
309,11246
17266,2968
7942,6587
15328,1807
11715,13594
5868,6601
17253,10420
17583,10260
1882,10579
12977,2733
16642,6613
14204,5795
4964,9649
8533,8527
15257,7225
7438,8213
3793,5080
16214,10858
2197,9287
2812,10524
9422,11957
15050,4464
16837,4755
4165,8532
9253,8307
16500,3195
16556,3682
6512,6595
3015,13519
11646,11193
558,4436
14397,8083
516,12546
6663,8278
2278,11118
399,4031
16833,1936
6624,2171
4696,2902
10493,486
12818,8969
17435,10071
17526,5222
139,8499
9006,6867
14545,1760
9971,3225
2697,13427
17231,3600
11681,10672
12888,2137
9565,13668
18426,122
7028,6841
432,12863
15392,4795
4771,1937
15605,9838
13732,11879
8677,13446
14699,7510
8167,4769
18139,8446
10468,11739
12339,7524
8852,11775
9497,9860
2013,9151
7082,13515
2175,12315
12779,10907
7477,1778
18542,8266
9082,10816
3351,4552
15455,10278
7743,10401
15326,9088
5179,857
4596,8073
5686,3904
3818,5690
11514,813
14095,2703
4598,7896
7374,12495
15572,11561
17495,11349
6898,5548
5607,12471
13396,235
7283,12184
16862,7154
17304,8593
5246,5940
1255,8252
8102,12820
11063,10573
15993,3041
10910,1330
11092,2409
8222,4300
16411,10027
15638,10553
11311,3588
9691,2434
10560,11910
9635,1631
2717,362
11734,6788
2483,1911
8281,7348
5433,9577
17818,11722
13205,5678
14554,12827
15284,2371
7509,5727
11487,13345
14614,11224
4488,4831
4144,6546
17258,196
10902,3038
545,10323
892,7537
15117,5437
12445,2866
8907,6018
8616,1996
7083,3650
15579,11234
3448,2094
0,8294
11151,1487
14230,5227
5744,11886
15304,3112
8145,6310
2265,6422
840,833
239,8057
8626,52
5323,13486
8286,9476
5278,276
7017,3385
16462,10925
11921,3864
13788,50
3675,1250
8124,2478
15587,12825
1440,10413
11667,11103
4472,11164
13822,7426
16332,8227
15023,7822
6016,9184
7630,13143
12233,5004
11614,8384
10675,10380
15201,8406
13565,12691
1859,9806
18315,533
4700,2392
17292,13616
12509,1542
16878,3717
3704,2748
11568,2277
2029,2127
6108,5783
3609,5051
3314,4277
13164,981
10718,1235
16852,5319
13813,9442
18357,5719
13866,2844
11351,2448
11859,5558
4530,6475
5697,8660
6482,6893
2108,11645
16038,7827
11959,5344
11380,11888
18309,6221
17269,7984
8043,4394
12955,10506
2410,12741
9057,729
12978,986
13059,7080
18193,8432
16325,12916
16026,5396
2654,539
11303,798
17068,11158
10783,767
4000,945
6050,10915
5488,10696
4299,6398
12087,11287
7002,4939
16305,10878
2212,8169
11941,6064
4751,9168
4838,2520
18202,4938
12410,6366
3880,4039
15973,6384
10900,2337
2088,328
5444,8285
11257,9812
13407,8531
15482,13563
2469,3157
10778,9006
2129,5380
8331,3255
9695,7307
551,11553
10275,8786
5142,2874
15759,9422
304,1711
3018,291
8079,4900
18420,5232
2439,2532
17561,8547
10617,559
776,6907
5311,10305
16005,2964
4920,4602
9341,6453
7102,8809
6186,9207
6033,13142
2149,13558
15240,9660
8091,298
6189,3809
17442,9872
16743,9139
12506,8696
14151,13440
6832,8335
994,7375
8086,11616
12741,5747
11299,10038
9177,230
10011,2915
12236,9285
13781,36
10519,3749
7232,6046
9647,13243
3313,4301
13131,6050
279,9255
13992,1986
6129,5032
12279,6125
2351,13306
3473,5225
16417,3652
528,169
17416,8124
945,3281
16307,2141
7584,9850
9474,7054
18036,9759
10554,1855
6825,3114
13622,13014
4297,8171
17613,828
4019,8934
7562,10128
5580,6501
11964,12926
17985,1411
15237,4139
10747,5490
406,5481
17181,4725
15631,8929
14485,3233
10598,7068
10587,1720
3803,10206
1471,5056
4087,12065
16140,13646
1054,5053
16466,8404
2686,7292
5050,6395
6921,10289
18287,6888
10818,7485
6819,6155
3665,9952
17784,9425
11072,11537
17650,4315
13107,8151
6039,5688
4500,7505
12683,8896
4140,221
5499,8016
566,5088
4773,311
7578,10625
18196,12306
6124,5272
4863,9563
14690,12647
8592,3710
13499,9307
6592,3647
17141,6094
3353,6516
11492,7480
18180,3663
5554,9247
4294,10073
2980,1703
12182,2561
9361,2070
12954,7070
6312,4815
12657,8330
16788,4223
13915,13410
18041,12622
14121,8820
7009,1964
11056,12578
7064,13485
9836,3655
12063,2314
16081,10543
11615,5321
16785,11693
6833,8145
7329,4280
1936,2423
18143,7447
12064,7979
1931,10473
17501,4527
7190,8668
16293,529
5268,1415
894,6373
342,6978
17967,1186
8746,3887
487,58
9354,5174
12283,12965
15127,5956
12336,8268
4215,9687
8073,6928
12278,7845
11071,2582
12824,12521
4624,2615
17261,2595
2642,2397
11772,5173
1364,8120
7495,9437
15604,1478
2141,10013
13015,7937
2159,9384
15590,6988
7259,5069
16801,4666
16760,9281
11807,1420
10766,5732
9379,1342
16111,6833
7954,984
9534,7268
5018,5884
6522,5485
16526,4053
5288,13272
11097,670
697,8539
16534,9629
11557,1339
12492,6128
510,7404
2790,724
3065,438
147,9404
12899,5705
3637,4680
10833,12698
2794,4506
16592,3477
7745,2584
12809,2718
1957,3719
14968,359
2968,8572
10593,12890
16771,611
3967,2014
4674,510
16824,5254
3743,13551
2031,7682
12582,11660
3524,10047
2777,8066
12674,11556
7158,11121
3920,9530
4969,9227
18423,6529
12792,7045
17562,13010
2169,7839
17769,8341
12569,94
11274,11268
17385,1655
5728,4962
856,7879
1051,1718
17895,12580
5146,9733
6000,6849
7332,6717
8678,69
10339,11026
13415,10088
9189,12762
1560,11791
11970,3925
10034,8208
2039,7099
11295,4104
10421,2511
6899,3999
11166,11710
35,4817
2639,918
11378,9500
17475,1629
13322,1556
9841,8995
8117,9572
9559,10381
7433,11326
4184,9272
2958,1859
12054,3753
17735,8170
8664,11922
448,8288
16378,1830
16330,3463
9294,8828
5290,8814
16708,6906
75,6454
6535,1929
10060,9446
506,9780
16587,11023
4726,8196
18289,3636
3392,5360
11219,2697
1283,12024
6439,2299
6581,5488
5171,9115
7073,5873
1168,2933
16498,5887
15377,8044
547,1091
7221,5498
12842,5116
16043,13061
8631,3223
6768,4485
10694,3594
13882,252
18125,6184
5216,1848
16365,10421
437,12900
2010,4037
6992,3855
4561,10572
18110,11505
15130,1374
17920,2202
10825,6904
3048,708
11749,5834
14716,10055
6674,11607
2314,5259
5073,2536
14591,13260
12794,7410
17213,9332
1540,10011
10417,9049
14268,1134
2845,5115
7732,11889
4438,8629
14349,12164
2347,2624
17,515
14561,13540
4360,5347
2476,10863
3766,1820
14475,11394
16318,7198
9154,732
7778,9068
15677,13
17021,11861
9393,6555
13995,4785
2884,13305
2709,8156
9829,11466
16596,13719
6955,175
10343,12860
10863,10370
16058,11835
15580,9374
13174,8175
2489,3692
4665,3865
858,6989
14265,4928
5381,5733
7095,3534
11125,12173
954,6740
15432,801
11405,10762
3606,6173
12031,1390
2134,12878
13821,5926
5307,3346
10396,12934
7983,11389
2510,431
8997,1421
9728,12166
3441,3323
7994,1074
17953,2912
10189,8417
8162,10922
5972,1309
12743,12544
124,12658
765,7075
17631,12008
12052,7990
12479,2062
15541,4109
15688,11196
18156,10856
1917,10938
14933,13016
8078,9991
7902,719
14570,2223
13556,406
14271,296
18120,9907
15497,4849
9688,10458
12148,12191
3730,11334
16354,13538
7408,2984
12412,8309
14088,5197
6321,1596
14848,318
13991,2681
5348,6244
6968,6274
1391,10467
9845,1860
5386,1674
13863,388
13506,8173
18254,4879
8407,9669
3139,12411
1082,9109
16999,7533
4657,7323
5261,6820
14529,8179
9228,13170
17353,8201
14853,2787
2747,3834
3939,10509
8538,6677
824,1537
3966,12478
2494,11478
493,13220
13969,9186
8643,7478
5558,646
12965,4827
2080,8750
488,75
16872,10276
8571,10384
17220,6803
3181,2496
11781,9638
9016,10773
648,11269
7225,11636
11169,7627
11480,13663
16957,814
5525,3218
8615,501
2421,10210
993,3730
4105,12959
12930,4308
11503,3822
13608,4641
6580,2648
12366,6903
4950,8507
1285,8033
9404,3987
16656,3215
8622,5468
11823,11426
10325,5597
599,13606
8016,11065
18326,2332
421,11220
371,11468
16946,1606
1105,4677
13003,5013
5107,8428
891,545
4556,3532
14505,12969
9712,9529
1318,3379
10796,13535
14355,6896
6116,3347
11251,1170
18416,25
14958,13070
6046,4792
4990,361
11976,11566
12060,11854
16707,1413
10565,9057
6232,5623
13912,12665
5128,293
7998,4957
3180,5005
7571,5880
11978,13128
1029,6289
1661,10959
11732,3289
4514,2391
9797,6691
15280,4203
11244,10303
807,8998
12597,6473
15141,6639
7606,3526
3381,10851
1162,9626
17934,9839
17477,7093
2876,5362
7666,10789
8022,10452
16644,6506
3621,2657
17161,12681
7414,12531
1588,12202
4922,12385
3795,4441
10058,12466
17454,5935
8681,10469
18259,10300
12480,5564
12981,12095
12542,2900
5353,4262
4466,7065
17431,7273
3998,12060
9096,7488
15884,5011
9582,7954
1834,3147
9754,7281
12704,8990
4208,506
13245,13711
7705,10603
16302,5762
10465,9075
10171,107
3394,2252
4362,2049
3679,2849
3543,9484
12340,8545
9327,1459
1665,6086
6669,10703
14167,11520
8929,10337
7868,12468
15299,9901
12240,3180
17884,2329
10219,8447
8201,6006
3310,2645
15071,4232
9812,1296
10925,8888
11386,2817
10568,1302
195,12559
5085,1536
6468,4984
4623,9013
8887,5465
4823,12732
901,3399
9175,1713
7619,13104
5758,5314
14598,12626
4645,4332
13338,2581
13456,11042
16774,4752
16987,2099
18534,5724
9022,11841
11947,2165
137,13114
14548,12160
3510,11732
5818,1884
3780,5930
12130,1327
8837,2437
8437,7743
10979,8630
4998,6797
13793,9328
9444,12876
13623,7086
13746,10702
16567,12912
8307,12714
12452,12423
1368,13118
10874,2863
12589,10304
4414,8763
17667,3863
8839,4194
13073,4601
1371,1776
14922,13234
9489,386
2196,3168
12344,9633
16665,11641
113,525
10398,11483
2342,12015
4252,6957
9458,1846
14038,12722
3771,8678
1187,2814
1084,1882
1396,4853
49,2856
16093,6389
9021,12357
9197,12485
8562,5187
9116,10283
2559,8989
803,6146
7373,3257
3523,2934
15950,1578
4841,11169
11298,6514
4705,12401
15239,743
5880,8975
9264,618
5998,380
1457,3344
14792,7130
10705,7608
15876,4562
5694,1893
8276,5206
10435,1840
16300,12652
8062,5160
14420,4233
10832,5145
7434,497
1655,3295
7427,4044
16234,6611
8088,939
17493,436
6238,4640
11231,12390
8027,9100
10508,8048
14885,1471
2411,2020
9210,9605
17663,8345
6722,13257
9136,4954
16020,3122
4183,6660
8171,1271
4994,3972
16418,6467
16734,2990
15734,7721
5116,8561
10411,6365
6026,5928
12228,4902
5691,8086
594,10153
10567,6658
4875,9929
6485,13037
12026,2242
1592,8553
6239,10228
87,7076
5838,5634
2293,11783
8315,2027
7712,12515
1780,4590
1217,4417
2102,10193
7682,10590
18457,4929
4291,5890
9098,3778
11508,4710
13340,839
6900,5982
18498,9876
16198,7263
12059,8496
14956,10221
3825,987
12292,4589
18454,6103
13087,1270
2724,5971
14647,6954
11275,1491
1158,2363
3900,12703
5849,1766
4008,10658
3083,12112
10319,1925
4156,3155
4638,8723
5692,4593
9750,6313
4148,13710
9974,6981
15236,3498
12246,9316
6634,6480
6228,715
4821,7737
620,5785
3302,4410
2855,12279
10187,2074
13095,1590
2020,9427
11086,8403
8541,1722
2594,8745
8680,11120
5828,12039
14644,12591
16560,5615
391,10037
14115,369
767,2695
292,9072
2413,1983
5483,7685
13208,272
10473,13550
13495,10231
13057,12549
12174,8959
16244,11682
3367,9319
8263,10064
16813,10386
7293,11843
310,1230
9342,10350
5788,1406
2563,6573
7589,1709
280,9053
11437,4864
8835,6800
2541,2126
4884,7871
8572,6150
521,4778
5974,6080
9324,5340
1864,11001
8494,3687
4107,3100
1383,10462
15654,9527
15206,4780
14441,7833
6798,30
11148,13002
5699,3541
8651,4165
4794,7866
12559,8104
1262,8529
9170,2771
2527,4599
12967,11782
747,4745
2886,6437
18293,1300
221,7648
13416,9986
14157,5882
9323,10566
14070,11602
11802,12931
13714,9058
1490,909
17517,12386
16083,8289
3767,8058
13223,11604
7057,7603
3935,10204
15558,12527
11968,6816
854,1464
12593,9304
576,13304
5653,9628
10809,1607
4591,128
505,4494
13491,11774
11794,1856
6896,12896
16294,13082
12478,11699
17136,2774
15137,5840
3001,1307
4590,2100
2861,720
12118,6299
16205,59
10299,206
8628,2938
15445,13388
17116,1734
2081,7214
17143,5025
490,6940
6848,11359
13578,9369
9034,4226
14066,7817
860,6243
15199,6085
13096,309
9514,6175
11522,13098
16435,2148
14943,9098
16667,152
10928,12555
10564,803
1214,4572
15372,13709
12126,9613
2506,10242
17342,5332
10018,12437
14090,2808
7772,3900
1140,10267
4460,8674
18288,7562
14843,172
16599,8766
5361,9757
10324,3800
10409,8152
135,3455
5564,8010
7172,7484
9575,610
13982,524
4553,3048
8130,585
18070,8041
9063,5981
14022,4650
15834,12265
11588,13106
555,3352
15320,4821
977,1626
17778,2801
7394,5859
15464,2798
15860,5620
3744,2345
11556,2517
9543,5318
3299,6362
16950,8206
8685,5562
16344,9308
13094,1446
8317,4025
6653,8549
17672,9670
10816,6695
10570,4716
14256,13614
9777,12813
18230,5964
10403,7112
1099,7604
16866,6088
12838,7551
12571,8965
6541,8980
5034,8535
4213,12122
15161,10104
5077,1106
478,9858
13753,13051
6792,4443
17325,6120
12820,965
4219,12026
10581,1636
1208,2701
2503,3210
10183,10067
8724,7137
16684,9776
3838,12070
5352,8577
11764,621
9133,11508
10098,12841
14324,13601
3583,6680
7511,5409
12543,2238
4629,5274
9171,4959
18408,5178
15756,840
7110,13186
12988,2037
17865,3391
5379,9258
17080,5358
15336,3200
1205,4486
14344,2823
10878,3158
5900,7948
8209,11998
14316,10728
9174,400
17276,2260
16664,13611
16412,11360
14226,3709
6629,11011
5145,1647
8641,2579
9580,10529
6069,11136
8511,7189
664,4078
9555,11217
9626,2492
5785,9373
18359,9567
1504,5450
8972,10129
3799,11411
18480,12303
17937,6976
15286,1789
66,10214
3010,13329
15254,2775
3182,8640
15227,28
7314,3149
128,3697
12587,2110
8790,184
12925,6853
4417,13256
1701,13512
8176,4235
17407,3491
13697,5723
11511,466
6781,11469
3876,8165
6496,9432
18208,4941
12813,13589
8197,12130
16126,2691
1499,2066
1295,9468
5367,9383
872,10691
2595,1637
6379,5788
10454,4922
5349,11962
12563,10793
509,5957
9547,2979
17294,6497
6947,12053
12004,10902
4191,4097
18371,12234
1531,679
3748,11086
10193,7631
17410,8371
4520,13181
4941,5287
7593,8326
6361,8638
13473,10694
5190,9690
17676,12793
17716,7670
735,8697
12665,3906
9037,7566
14839,5993
3574,11684
3198,40
13528,10606
9381,12489
14938,8197
16725,10472
4713,7406
12748,11277
14563,13023
17404,4822
695,5714
12011,12907
16646,10610
9935,11348
13703,9726
450,4027
8966,12905
6911,351
6333,788
2531,2444
8910,3173
1028,12049
13818,5467
16702,2156
12433,11700
13834,5979
15880,9892
4576,10348
7120,8276
16622,1753
7156,3693
6276,4498
486,4731
18066,10454
17447,12566
18150,969
7853,1802
8657,6524
14047,10248
10609,3743
2131,12240
17515,5581
10891,3444
6807,462
10332,2652
4621,13443
11746,6986
2911,1036
15785,10146
1605,11157
11933,7966
18236,4167
17995,9198
17706,512
17781,2268
8109,5661
1129,2639
9619,1787
10699,1452
14686,7334
1497,2607
2369,11207
17915,4115
15347,8987
12852,6610
240,11885
851,5091
8262,9036
17356,3641
1395,6905
1915,848
6420,9602
653,8283
8611,4409
18011,2176
55,7595
9726,1872
424,5258
6925,772
3599,6950
12163,10941
5109,9941
14807,4791
7879,4426
7011,10741
8715,13255
11571,884
13797,8769
14576,9611
15381,11605
13153,13683
13846,8108
16179,12142
3483,7168
3733,6979
11594,8586
12422,3722
17513,11487
14243,24
16673,925
9648,13688
2665,9103
12761,4047
18430,10188
14000,2115
8744,8952
15908,3246
7466,9342
17067,1620
8083,12940
7749,3017
16200,8229
11489,12435
7788,6760
15651,11612
10787,10296
13032,1228
4096,2189
17212,2618
16849,11202
16451,2812
12883,10217
11256,9516
15970,13476
16471,10060
7533,8052
7020,13167
13649,5457
1192,6405
15680,3284
7328,13185
13458,13459
8584,8290
17371,10317
5087,12620
17539,7752
12097,13575
11101,9222
13865,6874
7081,1837
6623,10532
11607,2380
1173,347
8039,3542
8765,3072
2759,11711
9480,5568
9453,9955
12835,10333
11894,4526
17003,61
9878,5532
17457,7009
14416,1774
9864,11719
10877,4889
8586,8126
10529,465
16306,4667
7607,6082
12778,697
18260,8856
16752,66
8463,4751
15159,5712
382,12320
11961,11084
14661,3569
16101,11935
2931,7886
12948,5398
2853,2343
13320,9856
13007,1691
7467,3899
2403,12177
14261,12963
1564,13245
16334,4784
17710,3924
17341,8072
7101,6290
14075,7345
8780,951
13898,6872
8229,8822
13488,7621
8977,7601
2715,11298
15064,1960
14255,4774
14608,4945
16174,13603
3114,1701
11573,5565
12991,11959
11598,9377
11218,4512
17916,3101
9438,7277
11699,9408
1464,4064
5357,5831
662,8059
9005,11795
18449,5204
15224,6426
17432,6097
14650,500
426,383
14826,234
3941,11264
17765,11099
10767,13421
11842,12883
12487,2802
2849,9579
825,2950
14551,11286
5852,7274
2738,4289
7108,5962
5030,12518
14817,1184
14231,9096
9129,190
4321,4340
16327,5089
130,3007
2434,9007
17593,503
16519,3474
1615,7017
3470,8771
6754,11200
17303,2177
8729,4241
13847,4511
15163,6417
9349,9575
5824,10139
8255,8191
3451,6668
17733,12814
11054,10463
8609,8589
4498,3830
1164,4726
17366,4456
17036,13652
3105,9501
14592,13548
7387,8363
11533,1721
2749,13206
12268,3378
13183,7141
18010,2914
16864,8354
2487,3794
6720,8635
14556,1069
6780,534
6880,213
4531,2160
12152,10021
1853,2557
200,13679
14795,6472
2745,9818
12115,9056
4326,3958
14091,12975
8565,12434
4185,7660
1538,6449
15386,1511
15891,8223
9870,3711
482,7645
9926,2925
17807,3089
1906,1198
1706,11236
16280,5292
3125,7241
13618,12461
16148,7622
12134,7794
6685,7266
16727,5503
15837,1336
10982,2491
15771,7338
2268,12094
11,5667
9043,13473
12397,11069
10895,5243
17986,8803
15192,8095
883,8195
6701,5343
6464,3635
16258,3555
15546,8259
14245,550
11058,5493
1372,459
16932,7229
14351,9177
6937,12957
9882,1261
18548,8956
11107,10821
8045,6329
10021,7530
16286,8599
13783,5838
966,9348
10922,11376
5279,3702
14137,1813
12296,9623
6389,9318
5441,6195
2767,439
8940,10510
1350,11075
6942,7310
2120,4476
7490,3433
8440,6235
14728,2454
11575,8134
1891,1154
5194,12067
8650,8216
15898,7718
16589,12289
12316,8430
18248,9465
3929,2221
8874,595
6897,8542
1135,4982
11015,6684
15068,9840
455,10861
1947,13375
6873,757
8313,2300
3074,2563
13950,3251
10033,4944
5834,3513
13071,7056
16978,12494
1106,2685
1771,200
11844,7783
14383,10842
4828,11827
3329,8881
5448,11953
11913,2489
14516,8772
6263,2978
18355,1061
5007,12097
8260,7220
17281,666
13738,734
13773,2088
7431,1509
13451,12856
4906,12260
8869,5240
11495,5303
687,8963
431,8928
2,6177
4799,5588
17464,836
14501,4953
14132,5992
16380,12806
2473,13698
12973,8090
16445,4863
1287,11356
1152,3462
12943,13595
7959,2497
14213,13393
16678,12588
5351,12971
14052,8079
5484,751
17908,11419
203,6709
16967,2762
7669,11320
14611,5657
2398,6431
16611,10508
18463,2709
14352,730
4995,3523
1639,12892
11395,10456
6481,12802
7059,8955
4437,2240
